店舗名,町名,電話番号,取り扱い商品・サービス,大型店
ファッションセンターしまむら 筑縄店,筑縄町,027-370-1017,衣類,
ファッションセンターしまむら 中居店,中居町,027-360-5013,衣類,
ファッションセンターしまむら 榛名店,中里見町,027-360-8034,衣類,
ファッションセンターしまむら 吉井店,吉井町池,027-320-3013,衣類,
ファッションハウス おくばら,上里見町,027-374-0137,衣類,
FUN,棟高町,027-395-0038,衣類,イオンモール
フォーエル高崎本店,上大類町,027-350-1254,衣類,
深野衣裳店高崎本店,山田町,027-322-2686,衣類,
ブティック 椿,石原町,070‐3190‐1717,衣類,
ブティック フジミ,通町,027-327-1295,衣類,
petit main,棟高町,027-310-9469,衣類,イオンモール
フラットヘッド 高崎店,通町,027-327-7077,衣類,
フリークスストア,八島町,027-386-5433,衣類,OPA
BRICK HOUSE by Tokyo shirts,棟高町,027-310-9093,衣類,イオンモール
ブルーム,矢中町,027-320-2383,衣類,
古着屋 7割デイコウ,筑縄町,,衣類,
プロバイス,八島町,027-321-4545,衣類,OPA
BABYDOLL,棟高町,027-310-9130,衣類,イオンモール
本店タカハシ 榛名店,上里見町,027-374-2111,衣類,
本店タカハシ ミサト店,箕郷町東明屋,027-371-6100,衣類,
マイルピア,八島町,027-384-3588,衣類,OPA
moussy,八島町,027-330-5141,衣類,モントレー
まつばや洋品店,吉井町吉井,027-387-2347,衣類,
丸岡洋品店,和田町,027-322-3367,衣類,
都屋,倉渕町三ノ倉,027-378-2072,衣類,
ミラオーウェン,八島町,027-387-0802,衣類,OPA
MALE&Co.,棟高町,027-310-9090,衣類,イオンモール
メローボックス,八島町,050-8884-8706,衣類,OPA
茂木呉服店,南町,027-322-2389,衣類,
THE MODERN AGE,本町,027-384-2366,衣類,
優美苑,柳川町,027-384-8222,衣類,
UNIQLO,棟高町,050-3096-5188,衣類,イオンモール
ユニクロ,八島町,050-3096-5187,衣類,モントレー
ユニクロ高崎問屋町店,問屋町,050-3096-5184,衣類,
洋服の青山 高崎上大類店,上大類町,027-328-2136,衣類,
洋服の青山 高崎群馬町店,引間町,027-373-8837,衣類,
洋服の青山 高崎緑町店,緑町,027-362-9477,衣類,
吉田洋品店,北双葉町,027-323-1651,衣類,
Right-on,棟高町,027-310-9094,衣類,イオンモール
LASUD,棟高町,027-310-9039,衣類,イオンモール
Luck Rack (4/24 OPEN),八島町,,衣類,OPA
Lovetoxic,棟高町,027-310-9390,衣類,イオンモール
Linge Noel,棟高町,027-310-9108,衣類,イオンモール
流儀圧搾,棟高町,027-310-9157,衣類,イオンモール
LUCA,棟高町,027-310-9041,衣類,イオンモール
ray,八島町,027-325-3031,衣類,
rhenium HIDEAWAYS,棟高町,027-372-7361,衣類,イオンモール
repipi armario,棟高町,027-310-9391,衣類,イオンモール
LEPSIM,棟高町,027-310-9203,衣類,イオンモール
LOWRYS FARM,棟高町,027-310-9379,衣類,イオンモール
RODEO CROWNS WIDE BOWL,棟高町,027-310-0055,衣類,イオンモール
アート館,新町,,飲食店,
Art marche,高松町,027-329-5775,飲食店,
R30,田町,027-335-6303,飲食店,
あいき鮨,片岡町,027-327-1186,飲食店,
蒼屋,倉賀野町,027-320-8677,飲食店,
赤いくつ,浜川町,027-343-2690,飲食店,
あかり,栄町,027-326-6100,飲食店,
揚げたての天ぷら専門店 剣崎,剣崎町,090-1760-0602,飲食店,
アジアンダイニング バリニーズカフェ,飯塚町,027-381-8908,飲食店,
味蔵,綿貫町,027-347-1167,飲食店,
味処 つかさ,貝沢町,027-364-4157,飲食店,
味の弘龍,吉井町矢田,027-387-5879,飲食店,
味の正屋,八千代町,027-326-2142,飲食店,
東屋本店,通町,027-315-8882,飲食店,
あせび,田町,027-325-2603,飲食店,
炙りや笑多,田町,027-386-996,飲食店,
炙りや笑多駅前店,八島町,027-388-0033,飲食店,
甘縁房,鞘町,027-326-2788,飲食店,
あまの川,新町,080-2336-3094,飲食店,
海女屋,高浜町,027-344-1131,飲食店,
網元寿司,芝塚町,027-326-3545,飲食店,
アムールのキッチン,問屋町,080-6893-3885,飲食店,
AmericanWaffle専門店 RESTO,井野町,027-381-5905,飲食店,
あやめ屋,新町,0274-42-5198,飲食店,
あらいや,下小塙町,027-343-0852,飲食店,
arca roca,筑縄町,027-384-4358,飲食店,
ARCOBALENO COFFEE ROASTERY TAKASAKI,吉井町池,090-3539-3284,飲食店,
アルベロ．,下里見町,027-340-1235,飲食店,
and one cafe bar,昭和町,027-388-8516,飲食店,
池田屋,正観寺町,027-364-3223,飲食店,
居酒屋 魚群探知機,問屋町西,027-315-0989,飲食店,
居酒屋 萬坊,連雀町,027-323-6293,飲食店,
居酒屋 みーちゃん,飯塚町,027-361-1749,飲食店,
居酒屋 大和,連雀町,027-315-8882,飲食店,
居酒屋 和が家,剣崎町,027-344-6010,飲食店,
居酒屋e.HEART,上並榎町,027-364-1700,飲食店,
居酒屋 十八番,東町,027-327-2989,飲食店,
居酒屋 ぽん太,剣崎町,027-343-9982,飲食店,
居酒屋 三幸,上並榎町,027-343-4267,飲食店,
いざか屋あそす,飯塚町,027-333-7977,飲食店,
居酒屋あゆ,上里見町,027-374-1330,飲食店,
居酒屋いっ盃,新町,027-442-1063,飲食店,
居酒屋貴一,上並榎町,027-386-5011,飲食店,
居酒屋きみちゃん,箕郷町生原,027-371-4381,飲食店,
izakaya くら田,通町,027-388-1277,飲食店,
Izakaya くら田 燎,通町,027-388-0181,飲食店,
居酒屋 蔵之助,嘉多町,090-3244-2227,飲食店,
居酒屋 酒笑,砂賀町,027-325-3188,飲食店,
居酒屋さくら,上里見町,090-4830-3528,飲食店,
居酒屋 旬菜,上並榎町,027-364-9228,飲食店,
居酒屋しょーけん,下小塙町,027-343-0108,飲食店,
居酒屋 みやこ,倉渕町三ノ倉,027-378-4913,飲食店,
居酒屋らーめん ゆう太,新紺屋町,027-325-0051,飲食店,
居酒屋 和ごころ,下室田町,090-7637-5589,飲食店,
居酒屋わさび,中紺屋町,027-327-1101,飲食店,
石うす,根小屋町,027-346-6240,飲食店,
居酒肴じゅうにつき,通町,027-386-4583,飲食店,
いずみ食堂,倉渕町三ノ倉,027-378-2954,飲食店,
泉屋,新町,0274-42-4443,飲食店,
板さんち,箕郷町上芝,027-371-5856,飲食店,
イタリア食堂 ガンベロッソ,中泉町,027-350-3060,飲食店,
イタリア料理 アンジェリーノ,菊地町,027-344-6544,飲食店,
イタリア料理 ベルベデーレ,下里見町,027-344-8515,飲食店,
イタリアン食堂 VILLA ROMA ヴィラローマ,棟高町,027-310-9065,飲食店,イオンモール
イタリアンレストラン シャンゴ 倉賀野店,下之城町,027-323-7788,飲食店,
イタリアンレストラン シャンゴ 支店,問屋町,027-363-1811,飲食店,
イタリアンレストラン シャンゴ 本店,問屋町,027-362-7938,飲食店,
イタリアンレストラン ベローナ,小八木町,027-364-8831,飲食店,
イタリアンレストラン レヴァンテ,江木町,027-328-4693,飲食店,
いち川,筑縄町,027-364-0441,飲食店,
九,柳川町,090-3246-8031,飲食店,
いっくう,榛名山町,027-374-9418,飲食店,
一心庵,北新波町,027-344-4845,飲食店,
一水庵,吉井町小串,027-387-7986,飲食店,
一鮮,栄町,050-5595-3724,飲食店,ヤマダデンキ LABI1
いっちょう 群馬町店,棟高町,027-373-7878,飲食店,
いっちょう 高崎問屋町店,飯塚町,027-370-7878,飲食店,
いっちょう 中居店,上中居町,027-350-1878,飲食店,
壱丁目壱番地 北の駅 高崎店,大橋町,027-364-0567,飲食店,
一汁五穀,棟高町,027-395-8332,飲食店,イオンモール
いとをかし。,連雀町,027-388-0126,飲食店,
田舎料理 しおん,八島町,027-327-8388,飲食店,モントレー
イノザキッチン,井野町,027-388-8518,飲食店,
今万人珈琲 高崎本店,緑町,027-381-5130,飲食店,
今万人珈琲 前橋インター店,中尾町,027-212-8107,飲食店,
Italian Bar La Famiglia,八島町,027-381-6600,飲食店,
飲食店 茶々（労使会館内）,東町,,飲食店,
UNO イタリアーノ,下中居町,027-386-8305,飲食店,
ウェンディーズ・ファーストキッチン 高崎店,貝沢町,027-386-9650,飲食店,
warmth別邸,末広町,080-4094-3390,飲食店,
魚けん,上中居町,027-326-3547,飲食店,
さかな屋料理 魚健,吉井町塩川,027-387-2120,飲食店,
魚孝／じん,本郷町,027-343-1266,飲食店,
魚彩,棟高町,027-373-3410,飲食店,
魚辰,住吉町,027-327-0474,飲食店,
魚民 高崎西口駅前店,鶴見町,027-321-8788,飲食店,
魚丼 新保町店,新保町,027-386-2627,飲食店,
魚仲,九蔵町,027-322-2428,飲食店,
魚べい 飯塚店,飯塚町,027-370-6831,飲食店,
魚べい 高崎問屋町店,問屋町,027-363-3411,飲食店,
うかい亭,緑町,027-364-6484,飲食店,
うどん 四方吉,江木町,027-324-5517,飲食店,
うどん居酒屋 源十郎,寄合町,090-1454-3878,飲食店,
うどん園,中里見町,027-374-4915,飲食店,
ウドンのな,八島町,027-388-1130,飲食店,OPA
鰻の成瀬 高崎下小鳥店,下小鳥町,080-8164-0590,飲食店,
梅田屋,綿貫町,027-347-2302,飲食店,
梅屋,箕郷町善地,027-371-014１,飲食店,
うら鳥,中大類町,027-353-2735,飲食店,
栄寿亭,あら町,027-322-2740,飲食店,
栄楽亭,吉井町本郷,027-387-5113,飲食店,
エクセレントグンマフードさんず,通町,027-388-8261,飲食店,
ECOLAB,上並榎町,027-393-6133,飲食店,
SR-50,中居町,027-352-4145,飲食店,
江戸前手打そば くりもと,吉井町長根,027-387-8222,飲食店,
えびすや,鞘町,090-3008-3629,飲食店,
恵比寿屋,若松町,027-322-3555,飲食店,
恵夢,江木町,027-325-5809,飲食店,
M'z café,栄町,027-325-1378,飲食店,
M'z current,あら町,027-324-0088,飲食店,
エルフリオ大手前,宮元町,027-321-4785,飲食店,
エルモア,若松町,027-325-4230,飲食店,
圓松庵,吉井町池,027-387-4941,飲食店,
Au Lpin ajile,下和田町,050-8882-7101,飲食店,
オイスターハウス,通町,027-386-6603,飲食店,
おいでやす,柳川町,027-324-2211,飲食店,
欧風食宅メゾン・ド・ジルコ,通町,027-329-6444,飲食店,
欧風食堂 HIGH FIVE！,塚田町,027-373-7337,飲食店,
おおぎやラーメン 群馬町店,三ツ寺町,027-373-0463,飲食店,
おおぎやラーメン 高崎倉賀野店,倉賀野町,027-347-4383,飲食店,
おおぎやラーメン 高崎問屋町店,問屋町,027-388-9800,飲食店,
おおぎやラーメン 高崎石原店,石原町,027-328-8877,飲食店,
おおぎやラーメン 高崎上豊岡店,上豊岡町,027-324-4919,飲食店,
大阪串かつ みなみ レンガ通り店,連雀町,027-321-3080,飲食店,
大戸屋ごはん処,棟高町,027-381-8950,飲食店,イオンモール
岡文吾商店,上小塙町,027-344-0211,飲食店,
お国自慢地酒酒場 肴いろいろ篠塚三郎,柳川町,027-322-3481,飲食店,
お好み焼き かねき,新町,0274-42-0736,飲食店,
お好み焼き えんや,東町,027-325-9766,飲食店,
お好み焼き おてもやん,あら町,027-327-0525,飲食店,
お好み焼き ふーま,上並榎町,027-329-5906,飲食店,
お好み焼き むぎわら,飯玉町,027-381-6539,飲食店,
お酒とごはん久呂,鍛治町,027-388-1177,飲食店,
お食事喫茶 ストー,南大類町,027-325-4545,飲食店,
御食事 三千代,箕郷町生原,027-371-5058,飲食店,
Osteria Sole e Luna,片岡町,027-341-6907,飲食店,
おだし日和かば。,上大類町,,飲食店,
おばんざい和菜,通町,027-384-2375,飲食店,
おひつごはん 四六時中,棟高町,080-7104-8012,飲食店,イオンモール
おひつごはん 四六時中,八島町,080-7279-8179,飲食店,OPA
お昼と夜し,西島町,,飲食店,
おぼろ家,筑縄町,027-329-6271,飲食店,
おめで鯛焼き本舗 高崎並榎店,並榎町,027-365-4600,飲食店,
親方ホルモン高崎店,真町,027-386-2329,飲食店,
和蘭ししがしら,栄町,027-395-4496,飲食店,
オリオン餃子 高崎店,八島町,027-384-2098,飲食店,
お料理 しらいし,問屋町西,027-365-5868,飲食店,
俺の中華 丸源,井出町,027-386-8598,飲食店,
俺の店 高崎西口駅前店,鶴見町,027-321-7588,飲食店,
温石,下大島町,027-343-3355,飲食店,
開運食堂 だるま餃子．com,田町,027-329-5803,飲食店,
海鮮イタリアンバル ルチアーノ,通町,027-381-5930,飲食店,
海鮮市場 からっ風,八島町,027-326-3439,飲食店,
海鮮酒処 榮屋,栄町,027-315-8882,飲食店,
海鮮しゃぶしゃぶ 松もと,本町,027-329-6939,飲食店,
海鮮ダイニング美喜仁館 高崎店,貝沢町,027-364-3377,飲食店,
海鮮どんさん亭 高崎北店,飯塚町,027-363-7181,飲食店,
海鮮どんさん亭 高崎店,貝沢町,027-365-2261,飲食店,
偕楽園,矢中町,027-352-9990,飲食店,
gakubuchi,福島町,090-3281-5921,飲食店,
隠れ家 食菜 とみざわ,西島町,027-377-5451,飲食店,
囲ダイニング高崎駅前店,八島町,027-388-8368,飲食店,
Casa Familiar,緑町,027-384-8494,飲食店,
カジュアルダイニング 八兵衛,旭町,027-315-8882,飲食店,
風鳥,中大類町,027-395-0174,飲食店,
風の都,下小鳥町,027-388-9539,飲食店,
かつサンド工房PANTON,中尾町,027-370-1230,飲食店,
かつ哲 総本店,下小鳥町,027-363-4188,飲食店,
かつ哲 中居店,中居町,027-352-3464,飲食店,
がってん食堂大島屋 高崎緑町店,緑町,027-388-8998,飲食店,
がってん寿司 高崎上大類店,上大類町,027-353-9010,飲食店,
がってん寿司 高崎下小鳥店,下小鳥町,027-363-8070,飲食店,
割烹 魚とし,成田町,027-327-3227,飲食店,
割烹さわ,八島町,027-327-1738,飲食店,
かつや 高崎問屋町店,問屋町,027-384-4143,飲食店,
金井いちご園,我峰町,027-344-1077,飲食店,
カフェ カパーブル,下小鳥町,027-363-6377,飲食店,
café de musique OLIVE,井野町,027-361-0444,飲食店,
Kafe HARUNA,榛名山町,080-7350-7818,飲食店,
cafe あすなろ,鞘町,027-384-2386,飲食店,
cafe & dining gurumi,金古町,027-373-9630,飲食店,
カフェ Du Meal,中大類町,027-335-6129,飲食店,
ｃａｆｅ ＡＯＹＡＭＡ,箕郷町矢原,027-371-7677,飲食店,
cafe&guesthouse 灯り屋,椿町,027-388-1298,飲食店,
Cafe & Bar nano,浜尻町,027-381-6466,飲食店,
CAFÉ&BAR あき,八島町,027-322-2579,飲食店,
Cafe 木の実,浜川町,027-388-8074,飲食店,
cafe9%,下里見町,,飲食店,
CAFE KOSUGI,新田町,080-8924-6077,飲食店,
CAFE SIESTA,請地町,090-4718-8792,飲食店,
Café 千年木,通町,,飲食店,
cafedining citrusthyme,金古町,027-395-0816,飲食店,
CAFÉ 高崎じまん,八島町,027-386-9864,飲食店,OPA
カフェテラス エヴァ,榛名湖町,027-374-9525,飲食店,
cafe & bar ESSENCE,通町,027-324-5755,飲食店,
CAFÉ 紅うさぎ,相生町,027-386-8691,飲食店,
カフェリベロ,矢中町,027-387-0166,飲食店,
カフェ ル・テルモス,石原町,090-4948-2488,飲食店,
カフェレスト,栄町,050-5595-3725,飲食店,ヤマダデンキ LABI1
亀屋食堂,金古町,027-373-0030,飲食店,
醸しや大澤,棟高町,027-373-2234,飲食店,
伽耶琴,新町,0274-42-8157,飲食店,
伽耶の家,上大類町,027-352-7155,飲食店,
からあげ焼きとり えにし 高崎東口店,栄町,027-310-8110,飲食店,
COLORS.建築芸人舎,上並榎町,027-395-0990,飲食店,
karaoke ＆ live dining JAM JUNCTION,通町,027-395-0651,飲食店,
可楽,あら町,027-325-2608,飲食店,
からさき食堂,下小塙町,027-343-0841,飲食店,
烏川カフェ,下豊岡町,027-327-7722,飲食店,
我流 与志田,あら町,027-387-0125,飲食店,
華龍飯店,八島町,027-321-0888,飲食店,モントレー
華龍飯店 高崎江木店,江木町,027-328-7922,飲食店,
curry stand baimai,本町,027-381-8323,飲食店,
カレーキッチン“るぅ～”,石原町,027-324-8867,飲食店,
カレーハウス ＣｏＣｏ壱番屋 高崎筑縄店,筑縄町,027-370-2578,飲食店,
カレーハウスCoCo壱番屋 高崎倉賀野店,倉賀野町,027-347-4481,飲食店,
カレーハウスCoCo壱番屋 高崎下之城店,下之城町,027-328-8246,飲食店,
カレー風味すずき高崎店,棟高町,027-372-8662,飲食店,
川魚料理 新さかや,岩鼻町,027-346-2246,飲食店,
かわぐち,並榎町,027-361-5454,飲食店,
韓国家庭料理楽延,江木町,027-387-0398,飲食店,
韓国キッチン ヨギヨポチャ 高崎店,八島町,027-386-6022,飲食店,
元祖からあげ本舗 マルタツ 高崎店,大沢町,,飲食店,
元祖辛麺屋 桝元,棟高町,027-310-9102,飲食店,イオンモール
神田 ポンチ軒 高崎店,栄町,027-395-4548,飲食店,
韓DELI,高関町,027-386-9009,飲食店,
観音茶屋,石原町,027-323-7700,飲食店,
観音屋,中紺屋町,027-325-2000,飲食店,
ＫIEFER’S CAFÉ,新町,070-6777-0367,飲食店,
菊一,新町,0274-42-7918,飲食店,
菊寿司,上豊岡町,027-323-9466,飲食店,
キコ,相生町,070-8425-0919,飲食店,
木曽路 高崎店,上大類町,027-310-7830,飲食店,
生そばあずま高崎店,下小鳥町,027-395-5336,飲食店,
Kissa Coffee,南大類町,027-377-3277,飲食店,
喫茶・スナック フローラ,井野町,027-362-9958,飲食店,
喫茶きのえね 宵酒とらや,旭町,027-322-5806,飲食店,
喫茶さんぽ道,柴崎町,027‐387-0450,飲食店,
キッチン 高山,倉賀野町,027-347-3471,飲食店,
キッチン とちの木,金古町,027-372-1771,飲食店,
キッチンアイアイ,江木町,070-4227-3431,飲食店,
キッチンムロオカ,剣崎町,027-368-0901,飲食店,
キッチン萌,下小鳥町,027-363-2425,飲食店,
甲子亭,榛名湖町,027-374-9231,飲食店,
甲子亭支店,榛名湖町,027-374-9708,飲食店,
喜の蔵,冷水町,027-373-0880,飲食店,
きべなん,栄町,080-1094-3481,飲食店,
木むら そば店,井野町,027-362-0968,飲食店,
キャットカフェモフ,八島町,027-381-5204,飲食店,OPA
牛角 高崎問屋町店,問屋町,027-370-8929,飲食店,
九州創作ダイニング かつおさんち,上並榎町,027-333-9596,飲食店,
牛タンとそばの店 梅の花,栄町,027-395-0505,飲食店,
ギュータンベロンチョ,貝沢町,,飲食店,
京華,聖石町,027-326-6823,飲食店,
餃子の王将 国道17号倉賀野店,倉賀野町,027-395-0899,飲食店,
餃子の王将 高崎中泉店,中泉町,027-384-2889,飲食店,
ぎょうざの満洲 イーサイト高崎店,八島町,027-381-5865,飲食店,イーサイト
京都銀ゆば 高崎駅前店,八島町,027-310-6681,飲食店,
肴菜家 徳坊,筑縄町,027-364-0478,飲食店,
麒麟ビヤホール,砂賀町,027-328-5903,飲食店,
銀坐,八島町,027-324-2603,飲食店,
ぎんざや,石原町,027-322-4704,飲食店,
きんとうん,菅谷町,027-333-1614,飲食店,
金家串焼,上豊岡町,027-393-6787,飲食店,
喰い処 獅子亭,矢中町,027-352-1234,飲食店,
草木万里野 高崎大類店,南大類町,027-381-8155,飲食店,
草木万里野 高崎店,上小塙町,027-343-0705,飲食店,
串揚げや 〇△□,田町,090-1604-1235,飲食店,
串カツ田中 高崎駅西口店,八島町,027-386-9001,飲食店,
串焼 鳳,砂賀町,027-329-5955,飲食店,
串焼 タイブレーク,飯玉町,027-381-8387,飲食店,
串家物語,棟高町,027-381-6612,飲食店,イオンモール
くちなし亭,上里見町,027-374-3456,飲食店,
Good Will Coffee,新田町,090-3045-9650,飲食店,
くまくま KITCHEN,下小塙町,,飲食店,
グラシエ・バル TAKASAKI,東町,090-3807-0157,飲食店,
暮らす和食 のぼる,通町,027-388-0288,飲食店,
Craft beer bar BOCCA,通町,027-386-5260,飲食店,
Greenpoint by Bedford Café,西島町,027-329-6110,飲食店,
グリルねんりん,飯塚町,027-361-7971,飲食店,
くれ～ぷ工房 ClinClin,片岡町,027-368-2119,飲食店,
crepe mimosa,上里見町,,飲食店,
黒吉,連雀町,,飲食店,
GLORIOUS,飯塚町,027-384-3279,飲食店,
群馬のお肉もぎたて完熟屋,本町,027-325-7525,飲食店,
ぐんまハーブ 宮元町店,宮元町,027-315-8422,飲食店,
ぐんまハーブ 八千代町店,八千代町,027-333-9446,飲食店,
群馬を握る、まぐろ問屋いちもん 高崎新保店,新保田中町,027-370-6633,飲食店,
慶州苑,寄合町,027-326-9944,飲食店,
景勝軒 高崎総本店,飯塚町,027-329-6706,飲食店,
ケインズ,石原町,027-326-4162,飲食店,
KETTLE,上並榎町,090-3498-5074,飲食店,
けのひ,末広町,027-335-6806,飲食店,
KEBAB café NOOR'S,通町,070-3134-2525,飲食店,
源氏家族 大京上小塙店,上小塙町,027-344-2088,飲食店,
ゲンセンソザイ商店イスウ poulet isuu,飯塚町,027-362-5339,飲食店,
KFC,棟高町,027-310-9177,飲食店,イオンモール
ケンタッキーフライドチキン 高崎ＯＰＡ店,八島町,027-310-1603,飲食店,
ケンタッキーフライドチキン 倉賀野バイパス店,下之城町,027-320-1670,飲食店,
ケンタッキーフライドチキン 高崎小鳥店,下小鳥町,027-360-3286,飲食店,
ケンタッキーフライドチキン 高前バイパス店,中尾町,027-290-1727,飲食店,
孝 鮨,高関町,027-324-0769,飲食店,
郷華,吉井町本郷,027-387-9778,飲食店,
香ノ酉,江木町,027-381-8850,飲食店,
珈焙屋 くぞう町,九蔵町,027-327-0796,飲食店,
