店舗名,町名,電話番号,取り扱い商品・サービス,大型店,lat,lng,精度,ソース
須田屋衣料品店,沖町,027-360-4379,衣類,,36.362854,138.958527,town,gsi
スナイデル,八島町,027-395-4211,衣類,OPA,36.32185,139.0112,town,gsi
スピンズ,八島町,080-4083-7411,衣類,OPA,36.32185,139.0112,town,gsi
SpRay PREMIUM,棟高町,027-310-9462,衣類,イオンモール,36.385422,139.006836,town,gsi
センスオブプレイス,八島町,027-388-8022,衣類,OPA,36.32185,139.0112,town,gsi
Zoff (4/3 OPEN),八島町,,衣類,OPA,36.32185,139.0112,town,gsi
Times are changin',緑町,027-395-8787,衣類,,36.350552,139.002823,town,gsi
タツミヤ,矢中町,027-346-7006,衣類,,36.310818,139.050934,town,gsi
チサ セレクトショップ,連雀町,027-322-5259,衣類,,36.324718,139.007156,town,gsi
tutuanna,棟高町,027-384-4588,衣類,イオンモール,36.385422,139.006836,town,gsi
チュチュアンナ,八島町,027-381-5176,衣類,モントレー,36.32185,139.0112,town,gsi
choujiron,四ツ屋町,090-5492-1215,衣類,,36.331394,139.001053,town,gsi
tip top+pocket,棟高町,027-387-0575,衣類,イオンモール,36.385422,139.006836,town,gsi
to blossom,棟高町,027-329-5212,衣類,イオンモール,36.385422,139.006836,town,gsi
ＴＯＤＯＫＯＲＯ,檜物町,027-322-1766,衣類,,36.322926,139.006454,town,gsi
DonDonDown On Wednesday 高崎店,江木町,027-345-8900,衣類,,36.331066,139.020416,town,gsi
niko and...,棟高町,027-310-9273,衣類,イオンモール,36.385422,139.006836,town,gsi
西松屋チェーン高崎高関店,高関町,070-3267-3700,衣類,,36.325771,139.027115,town,gsi
西松屋チェーン高崎緑町店,緑町,080-4349-7288,衣類,,36.350552,139.002823,town,gsi
西松屋チェーン ミスターマックス高崎倉賀野店,倉賀野町,070-5592-0562,衣類,,36.298168,139.057709,town,gsi
ネストローブ,八島町,027-386-8041,衣類,OPA,36.32185,139.0112,town,gsi
ノースムーン,八島町,080-9032-0728,衣類,OPA,36.32185,139.0112,town,gsi
パースト,片岡町,027-323-0048,衣類,,36.320522,138.996811,town,gsi
HEART MARKET,棟高町,027-310-9083,衣類,イオンモール,36.385422,139.006836,town,gsi
パシオス 飯塚店,飯塚町,027-362-8403,衣類,,36.341881,139.006836,town,gsi
パシオス 下豊岡店,下豊岡町,027-310-8403,衣類,,36.332787,138.985275,town,gsi
パシオス 新保店,新保町,027-370-8380,衣類,,36.3479,139.040588,town,gsi
パシオス 中居店,中居町,027-350-8403,衣類,,36.320415,139.037994,town,gsi
ハニーズ,八島町,027-386-5070,衣類,モントレー,36.32185,139.0112,town,gsi
Honeys,棟高町,027-373-8050,衣類,イオンモール,36.385422,139.006836,town,gsi
Pal'las Palace,棟高町,027-310-9135,衣類,イオンモール,36.385422,139.006836,town,gsi
パルミーネ神宮,中豊岡町,027-328-2008,衣類,,36.336853,138.973557,town,gsi
Handle_6,貝沢町,080-8815-1499,衣類,,36.34441,139.023041,town,gsi
ピアラウンジバイアーク,八島町,027-388-0704,衣類,OPA,36.32185,139.0112,town,gsi
BK home,棟高町,027-381-8250,衣類,イオンモール,36.385422,139.006836,town,gsi
Peace tree,江木町,027-384-2940,衣類,,36.331066,139.020416,town,gsi
ビス ロペピクニック,八島町,027-384-2690,衣類,OPA,36.32185,139.0112,town,gsi
Pippi,中居町,027-353-8373,衣類,,36.320415,139.037994,town,gsi
ファッション市場サンキ 高崎日高店,日高町,027-364-5751,衣類,,36.359898,139.034042,town,gsi
ファッションセンターしまむら 石原店,片岡町,027-320-1068,衣類,,36.320522,138.996811,town,gsi
ファッションセンターしまむら 貝沢店,貝沢町,027-370-1152,衣類,,36.34441,139.023041,town,gsi
ファッションセンターしまむら 新町店,新町,0274-20-2030,衣類,,36.272076,139.111679,town,gsi
ファッションセンターしまむら 菅谷FM店,菅谷町,027-360-6806,衣類,,36.378056,139.015472,town,gsi
ファッションセンターしまむら 筑縄店,筑縄町,027-370-1017,衣類,,36.352173,138.987961,town,gsi
ファッションセンターしまむら 中居店,中居町,027-360-5013,衣類,,36.320415,139.037994,town,gsi
ファッションセンターしまむら 榛名店,中里見町,027-360-8034,衣類,,36.368881,138.905396,town,gsi
ファッションセンターしまむら 吉井店,吉井町池,027-320-3013,衣類,,36.268402,138.993073,town,gsi
ファッションハウス おくばら,上里見町,027-374-0137,衣類,,36.378292,138.858521,town,gsi
FUN,棟高町,027-395-0038,衣類,イオンモール,36.385422,139.006836,town,gsi
フォーエル高崎本店,上大類町,027-350-1254,衣類,,36.336403,139.033966,town,gsi
深野衣裳店高崎本店,山田町,027-322-2686,衣類,,36.332062,139.008011,town,gsi
ブティック 椿,石原町,070‐3190‐1717,衣類,,36.305721,138.99585,town,gsi
ブティック フジミ,通町,027-327-1295,衣類,,36.324619,139.009384,town,gsi
petit main,棟高町,027-310-9469,衣類,イオンモール,36.385422,139.006836,town,gsi
フラットヘッド 高崎店,通町,027-327-7077,衣類,,36.324619,139.009384,town,gsi
フリークスストア,八島町,027-386-5433,衣類,OPA,36.32185,139.0112,town,gsi
BRICK HOUSE by Tokyo shirts,棟高町,027-310-9093,衣類,イオンモール,36.385422,139.006836,town,gsi
ブルーム,矢中町,027-320-2383,衣類,,36.310818,139.050934,town,gsi
古着屋 7割デイコウ,筑縄町,,衣類,,36.352173,138.987961,town,gsi
プロバイス,八島町,027-321-4545,衣類,OPA,36.32185,139.0112,town,gsi
BABYDOLL,棟高町,027-310-9130,衣類,イオンモール,36.385422,139.006836,town,gsi
本店タカハシ 榛名店,上里見町,027-374-2111,衣類,,36.378292,138.858521,town,gsi
本店タカハシ ミサト店,箕郷町東明屋,027-371-6100,衣類,,36.405262,138.955704,town,gsi
マイルピア,八島町,027-384-3588,衣類,OPA,36.32185,139.0112,town,gsi
moussy,八島町,027-330-5141,衣類,モントレー,36.32185,139.0112,town,gsi
まつばや洋品店,吉井町吉井,027-387-2347,衣類,,36.258095,138.986023,town,gsi
丸岡洋品店,和田町,027-322-3367,衣類,,36.316555,139.0112,town,gsi
都屋,倉渕町三ノ倉,027-378-2072,衣類,,36.420166,138.808609,town,gsi
ミラオーウェン,八島町,027-387-0802,衣類,OPA,36.32185,139.0112,town,gsi
MALE&Co.,棟高町,027-310-9090,衣類,イオンモール,36.385422,139.006836,town,gsi
メローボックス,八島町,050-8884-8706,衣類,OPA,36.32185,139.0112,town,gsi
茂木呉服店,南町,027-322-2389,衣類,,36.318527,139.008438,town,gsi
THE MODERN AGE,本町,027-384-2366,衣類,,36.33099,139.00386,town,gsi
優美苑,柳川町,027-384-8222,衣類,,36.328556,139.002365,town,gsi
UNIQLO,棟高町,050-3096-5188,衣類,イオンモール,36.385422,139.006836,town,gsi
ユニクロ,八島町,050-3096-5187,衣類,モントレー,36.32185,139.0112,town,gsi
ユニクロ高崎問屋町店,問屋町,050-3096-5184,衣類,,36.348717,139.008499,town,gsi
洋服の青山 高崎上大類店,上大類町,027-328-2136,衣類,,36.336403,139.033966,town,gsi
洋服の青山 高崎群馬町店,引間町,027-373-8837,衣類,,36.394512,139.010437,town,gsi
洋服の青山 高崎緑町店,緑町,027-362-9477,衣類,,36.350552,139.002823,town,gsi
吉田洋品店,北双葉町,027-323-1651,衣類,,36.319324,139.018799,town,gsi
Right-on,棟高町,027-310-9094,衣類,イオンモール,36.385422,139.006836,town,gsi
LASUD,棟高町,027-310-9039,衣類,イオンモール,36.385422,139.006836,town,gsi
Luck Rack (4/24 OPEN),八島町,,衣類,OPA,36.32185,139.0112,town,gsi
Lovetoxic,棟高町,027-310-9390,衣類,イオンモール,36.385422,139.006836,town,gsi
Linge Noel,棟高町,027-310-9108,衣類,イオンモール,36.385422,139.006836,town,gsi
流儀圧搾,棟高町,027-310-9157,衣類,イオンモール,36.385422,139.006836,town,gsi
LUCA,棟高町,027-310-9041,衣類,イオンモール,36.385422,139.006836,town,gsi
ray,八島町,027-325-3031,衣類,,36.32185,139.0112,town,gsi
rhenium HIDEAWAYS,棟高町,027-372-7361,衣類,イオンモール,36.385422,139.006836,town,gsi
repipi armario,棟高町,027-310-9391,衣類,イオンモール,36.385422,139.006836,town,gsi
LEPSIM,棟高町,027-310-9203,衣類,イオンモール,36.385422,139.006836,town,gsi
LOWRYS FARM,棟高町,027-310-9379,衣類,イオンモール,36.385422,139.006836,town,gsi
RODEO CROWNS WIDE BOWL,棟高町,027-310-0055,衣類,イオンモール,36.385422,139.006836,town,gsi
アート館,新町,,飲食店,,36.272076,139.111679,town,gsi
Art marche,高松町,027-329-5775,飲食店,,36.323921,139.001572,town,gsi
R30,田町,027-335-6303,飲食店,,36.32732,139.006653,town,gsi
あいき鮨,片岡町,027-327-1186,飲食店,,36.320522,138.996811,town,gsi
蒼屋,倉賀野町,027-320-8677,飲食店,,36.298168,139.057709,town,gsi
赤いくつ,浜川町,027-343-2690,飲食店,,36.369167,138.980423,town,gsi
あかり,栄町,027-326-6100,飲食店,,36.320877,139.015915,town,gsi
揚げたての天ぷら専門店 剣崎,剣崎町,090-1760-0602,飲食店,,36.344723,138.95549,town,gsi
アジアンダイニング バリニーズカフェ,飯塚町,027-381-8908,飲食店,,36.341881,139.006836,town,gsi
味蔵,綿貫町,027-347-1167,飲食店,,36.307713,139.076248,town,gsi
味処 つかさ,貝沢町,027-364-4157,飲食店,,36.34441,139.023041,town,gsi
味の弘龍,吉井町矢田,027-387-5879,飲食店,,36.250435,138.997314,town,gsi
味の正屋,八千代町,027-326-2142,飲食店,,36.32378,138.993332,town,gsi
東屋本店,通町,027-315-8882,飲食店,,36.324619,139.009384,town,gsi
あせび,田町,027-325-2603,飲食店,,36.32732,139.006653,town,gsi
炙りや笑多,田町,027-386-996,飲食店,,36.32732,139.006653,town,gsi
炙りや笑多駅前店,八島町,027-388-0033,飲食店,,36.32185,139.0112,town,gsi
甘縁房,鞘町,027-326-2788,飲食店,,36.325302,139.00563,town,gsi
あまの川,新町,080-2336-3094,飲食店,,36.272076,139.111679,town,gsi
海女屋,高浜町,027-344-1131,飲食店,,36.37355,138.931992,town,gsi
網元寿司,芝塚町,027-326-3545,飲食店,,36.334103,139.013763,town,gsi
アムールのキッチン,問屋町,080-6893-3885,飲食店,,36.348717,139.008499,town,gsi
AmericanWaffle専門店 RESTO,井野町,027-381-5905,飲食店,,36.355373,139.02652,town,gsi
あやめ屋,新町,0274-42-5198,飲食店,,36.272076,139.111679,town,gsi
あらいや,下小塙町,027-343-0852,飲食店,,36.350662,138.972992,town,gsi
arca roca,筑縄町,027-384-4358,飲食店,,36.352173,138.987961,town,gsi
ARCOBALENO COFFEE ROASTERY TAKASAKI,吉井町池,090-3539-3284,飲食店,,36.268402,138.993073,town,gsi
アルベロ．,下里見町,027-340-1235,飲食店,,36.359371,138.918839,town,gsi
and one cafe bar,昭和町,027-388-8516,飲食店,,36.336304,139.004654,town,gsi
池田屋,正観寺町,027-364-3223,飲食店,,36.371819,139.018997,town,gsi
居酒屋 魚群探知機,問屋町西,027-315-0989,飲食店,,36.349506,139.005585,town,gsi
居酒屋 萬坊,連雀町,027-323-6293,飲食店,,36.324718,139.007156,town,gsi
居酒屋 みーちゃん,飯塚町,027-361-1749,飲食店,,36.341881,139.006836,town,gsi
居酒屋 大和,連雀町,027-315-8882,飲食店,,36.324718,139.007156,town,gsi
居酒屋 和が家,剣崎町,027-344-6010,飲食店,,36.344723,138.95549,town,gsi
居酒屋e.HEART,上並榎町,027-364-1700,飲食店,,36.340405,138.986862,town,gsi
居酒屋 十八番,東町,027-327-2989,飲食店,,36.325928,139.015869,town,gsi
居酒屋 ぽん太,剣崎町,027-343-9982,飲食店,,36.344723,138.95549,town,gsi
居酒屋 三幸,上並榎町,027-343-4267,飲食店,,36.340405,138.986862,town,gsi
いざか屋あそす,飯塚町,027-333-7977,飲食店,,36.341881,139.006836,town,gsi
居酒屋あゆ,上里見町,027-374-1330,飲食店,,36.378292,138.858521,town,gsi
居酒屋いっ盃,新町,027-442-1063,飲食店,,36.272076,139.111679,town,gsi
居酒屋貴一,上並榎町,027-386-5011,飲食店,,36.340405,138.986862,town,gsi
居酒屋きみちゃん,箕郷町生原,027-371-4381,飲食店,,36.39695,138.970367,town,gsi
izakaya くら田,通町,027-388-1277,飲食店,,36.324619,139.009384,town,gsi
Izakaya くら田 燎,通町,027-388-0181,飲食店,,36.324619,139.009384,town,gsi
居酒屋 蔵之助,嘉多町,090-3244-2227,飲食店,,36.329655,139.002457,town,gsi
居酒屋 酒笑,砂賀町,027-325-3188,飲食店,,36.32312,139.008682,town,gsi
居酒屋さくら,上里見町,090-4830-3528,飲食店,,36.378292,138.858521,town,gsi
居酒屋 旬菜,上並榎町,027-364-9228,飲食店,,36.340405,138.986862,town,gsi
居酒屋しょーけん,下小塙町,027-343-0108,飲食店,,36.350662,138.972992,town,gsi
居酒屋 みやこ,倉渕町三ノ倉,027-378-4913,飲食店,,36.420166,138.808609,town,gsi
居酒屋らーめん ゆう太,新紺屋町,027-325-0051,飲食店,,36.329159,139.005203,town,gsi
居酒屋 和ごころ,下室田町,090-7637-5589,飲食店,,36.407383,138.892914,town,gsi
居酒屋わさび,中紺屋町,027-327-1101,飲食店,,36.326836,139.005142,town,gsi
石うす,根小屋町,027-346-6240,飲食店,,36.288757,139.026291,town,gsi
居酒肴じゅうにつき,通町,027-386-4583,飲食店,,36.324619,139.009384,town,gsi
いずみ食堂,倉渕町三ノ倉,027-378-2954,飲食店,,36.420166,138.808609,town,gsi
泉屋,新町,0274-42-4443,飲食店,,36.272076,139.111679,town,gsi
板さんち,箕郷町上芝,027-371-5856,飲食店,,36.386776,138.959167,town,gsi
イタリア食堂 ガンベロッソ,中泉町,027-350-3060,飲食店,,36.373325,139.000565,town,gsi
イタリア料理 アンジェリーノ,菊地町,027-344-6544,飲食店,,36.361279,138.964783,town,gsi
イタリア料理 ベルベデーレ,下里見町,027-344-8515,飲食店,,36.359371,138.918839,town,gsi
イタリアン食堂 VILLA ROMA ヴィラローマ,棟高町,027-310-9065,飲食店,イオンモール,36.385422,139.006836,town,gsi
イタリアンレストラン シャンゴ 倉賀野店,下之城町,027-323-7788,飲食店,,36.308746,139.031006,town,gsi
イタリアンレストラン シャンゴ 支店,問屋町,027-363-1811,飲食店,,36.348717,139.008499,town,gsi
イタリアンレストラン シャンゴ 本店,問屋町,027-362-7938,飲食店,,36.348717,139.008499,town,gsi
イタリアンレストラン ベローナ,小八木町,027-364-8831,飲食店,,36.36195,139.014374,town,gsi
イタリアンレストラン レヴァンテ,江木町,027-328-4693,飲食店,,36.331066,139.020416,town,gsi
いち川,筑縄町,027-364-0441,飲食店,,36.352173,138.987961,town,gsi
九,柳川町,090-3246-8031,飲食店,,36.328556,139.002365,town,gsi
いっくう,榛名山町,027-374-9418,飲食店,,36.44405,138.844162,town,gsi
一心庵,北新波町,027-344-4845,飲食店,,36.366261,138.971832,town,gsi
一水庵,吉井町小串,027-387-7986,飲食店,,36.254612,139.014435,town,gsi
一鮮,栄町,050-5595-3724,飲食店,ヤマダデンキ LABI1,36.320877,139.015915,town,gsi
いっちょう 群馬町店,棟高町,027-373-7878,飲食店,,36.385422,139.006836,town,gsi
いっちょう 高崎問屋町店,飯塚町,027-370-7878,飲食店,,36.341881,139.006836,town,gsi
いっちょう 中居店,上中居町,027-350-1878,飲食店,,36.31897,139.030075,town,gsi
壱丁目壱番地 北の駅 高崎店,大橋町,027-364-0567,飲食店,,36.338127,138.999695,town,gsi
一汁五穀,棟高町,027-395-8332,飲食店,イオンモール,36.385422,139.006836,town,gsi
いとをかし。,連雀町,027-388-0126,飲食店,,36.324718,139.007156,town,gsi
田舎料理 しおん,八島町,027-327-8388,飲食店,モントレー,36.32185,139.0112,town,gsi
イノザキッチン,井野町,027-388-8518,飲食店,,36.355373,139.02652,town,gsi
今万人珈琲 高崎本店,緑町,027-381-5130,飲食店,,36.350552,139.002823,town,gsi
今万人珈琲 前橋インター店,中尾町,027-212-8107,飲食店,,36.369942,139.027267,town,gsi
Italian Bar La Famiglia,八島町,027-381-6600,飲食店,,36.32185,139.0112,town,gsi
飲食店 茶々（労使会館内）,東町,,飲食店,,36.325928,139.015869,town,gsi
UNO イタリアーノ,下中居町,027-386-8305,飲食店,,36.311886,139.038788,town,gsi
ウェンディーズ・ファーストキッチン 高崎店,貝沢町,027-386-9650,飲食店,,36.34441,139.023041,town,gsi
warmth別邸,末広町,080-4094-3390,飲食店,,36.33466,139.008286,town,gsi
魚けん,上中居町,027-326-3547,飲食店,,36.31897,139.030075,town,gsi
さかな屋料理 魚健,吉井町塩川,027-387-2120,飲食店,,36.259811,138.981339,town,gsi
魚孝／じん,本郷町,027-343-1266,飲食店,,36.364155,138.939362,town,gsi
魚彩,棟高町,027-373-3410,飲食店,,36.385422,139.006836,town,gsi
魚辰,住吉町,027-327-0474,飲食店,,36.334557,139.000916,town,gsi
魚民 高崎西口駅前店,鶴見町,027-321-8788,飲食店,,36.319473,139.010803,town,gsi
魚丼 新保町店,新保町,027-386-2627,飲食店,,36.3479,139.040588,town,gsi
魚仲,九蔵町,027-322-2428,飲食店,,36.330132,139.007263,town,gsi
魚べい 飯塚店,飯塚町,027-370-6831,飲食店,,36.341881,139.006836,town,gsi
魚べい 高崎問屋町店,問屋町,027-363-3411,飲食店,,36.348717,139.008499,town,gsi
うかい亭,緑町,027-364-6484,飲食店,,36.350552,139.002823,town,gsi
うどん 四方吉,江木町,027-324-5517,飲食店,,36.331066,139.020416,town,gsi
うどん居酒屋 源十郎,寄合町,090-1454-3878,飲食店,,36.327801,139.005157,town,gsi
うどん園,中里見町,027-374-4915,飲食店,,36.368881,138.905396,town,gsi
ウドンのな,八島町,027-388-1130,飲食店,OPA,36.32185,139.0112,town,gsi
鰻の成瀬 高崎下小鳥店,下小鳥町,080-8164-0590,飲食店,,36.353416,138.996078,town,gsi
梅田屋,綿貫町,027-347-2302,飲食店,,36.307713,139.076248,town,gsi
梅屋,箕郷町善地,027-371-014１,飲食店,,36.414745,138.92897,town,gsi
うら鳥,中大類町,027-353-2735,飲食店,,36.325359,139.058807,town,gsi
栄寿亭,あら町,027-322-2740,飲食店,,36.322086,139.007858,town,gsi
栄楽亭,吉井町本郷,027-387-5113,飲食店,,36.259941,138.972168,town,gsi
エクセレントグンマフードさんず,通町,027-388-8261,飲食店,,36.324619,139.009384,town,gsi
ECOLAB,上並榎町,027-393-6133,飲食店,,36.340405,138.986862,town,gsi
SR-50,中居町,027-352-4145,飲食店,,36.320415,139.037994,town,gsi
江戸前手打そば くりもと,吉井町長根,027-387-8222,飲食店,,36.241974,138.960907,town,gsi
えびすや,鞘町,090-3008-3629,飲食店,,36.325302,139.00563,town,gsi
恵比寿屋,若松町,027-322-3555,飲食店,,36.318119,139.004517,town,gsi
恵夢,江木町,027-325-5809,飲食店,,36.331066,139.020416,town,gsi
M'z café,栄町,027-325-1378,飲食店,,36.320877,139.015915,town,gsi
M'z current,あら町,027-324-0088,飲食店,,36.322086,139.007858,town,gsi
エルフリオ大手前,宮元町,027-321-4785,飲食店,,36.322605,139.005295,town,gsi
エルモア,若松町,027-325-4230,飲食店,,36.318119,139.004517,town,gsi
圓松庵,吉井町池,027-387-4941,飲食店,,36.268402,138.993073,town,gsi
Au Lpin ajile,下和田町,050-8882-7101,飲食店,,36.3148,139.011185,town,gsi
オイスターハウス,通町,027-386-6603,飲食店,,36.324619,139.009384,town,gsi
おいでやす,柳川町,027-324-2211,飲食店,,36.328556,139.002365,town,gsi
欧風食宅メゾン・ド・ジルコ,通町,027-329-6444,飲食店,,36.324619,139.009384,town,gsi
欧風食堂 HIGH FIVE！,塚田町,027-373-7337,飲食店,,36.388268,139.021866,town,gsi
おおぎやラーメン 群馬町店,三ツ寺町,027-373-0463,飲食店,,36.376621,138.993683,town,gsi
おおぎやラーメン 高崎倉賀野店,倉賀野町,027-347-4383,飲食店,,36.298168,139.057709,town,gsi
おおぎやラーメン 高崎問屋町店,問屋町,027-388-9800,飲食店,,36.348717,139.008499,town,gsi
おおぎやラーメン 高崎石原店,石原町,027-328-8877,飲食店,,36.305721,138.99585,town,gsi
おおぎやラーメン 高崎上豊岡店,上豊岡町,027-324-4919,飲食店,,36.338272,138.966644,town,gsi
大阪串かつ みなみ レンガ通り店,連雀町,027-321-3080,飲食店,,36.324718,139.007156,town,gsi
大戸屋ごはん処,棟高町,027-381-8950,飲食店,イオンモール,36.385422,139.006836,town,gsi
岡文吾商店,上小塙町,027-344-0211,飲食店,,36.355717,138.977493,town,gsi
お国自慢地酒酒場 肴いろいろ篠塚三郎,柳川町,027-322-3481,飲食店,,36.328556,139.002365,town,gsi
お好み焼き かねき,新町,0274-42-0736,飲食店,,36.272076,139.111679,town,gsi
お好み焼き えんや,東町,027-325-9766,飲食店,,36.325928,139.015869,town,gsi
お好み焼き おてもやん,あら町,027-327-0525,飲食店,,36.322086,139.007858,town,gsi
お好み焼き ふーま,上並榎町,027-329-5906,飲食店,,36.340405,138.986862,town,gsi
お好み焼き むぎわら,飯玉町,027-381-6539,飲食店,,36.339039,139.0159,town,gsi
お酒とごはん久呂,鍛治町,027-388-1177,飲食店,,36.322163,139.005814,town,gsi
お食事喫茶 ストー,南大類町,027-325-4545,飲食店,,36.32637,139.042358,town,gsi
御食事 三千代,箕郷町生原,027-371-5058,飲食店,,36.39695,138.970367,town,gsi
Osteria Sole e Luna,片岡町,027-341-6907,飲食店,,36.320522,138.996811,town,gsi
おだし日和かば。,上大類町,,飲食店,,36.336403,139.033966,town,gsi
