店舗名,町名,電話番号,取り扱い商品・サービス,大型店,lat,lng,精度,ソース
ゴールドミンクス,八島町,090-8117-6701,衣類,OPA,36.326222,139.056102,approx,geocoding.jp
ゴールドミンクスセカンド ジェイダ,八島町,070-1440-7465,衣類,OPA,36.330215,139.060551,approx,geocoding.jp
coca (4/24 OPEN),八島町,,衣類,OPA,36.356863,139.009038,approx,geocoding.jp
コナカ 高崎上中居店,上中居町,027-328-6575,衣類,,36.319766,139.026955,approx,geocoding.jp
COMME CA STYLE,棟高町,027-310-9645,衣類,イオンモール,36.390802,139.00673,approx,geocoding.jp
SAVAGE CLUB,八島町,0123-88-0003,衣類,OPA,36.322523,139.011174,approx,geocoding.jp
SM2 keittio,棟高町,027-386-3154,衣類,イオンモール,36.390551,139.006731,approx,geocoding.jp
ZARA,棟高町,0120-257-100,衣類,イオンモール,36.391634,139.006134,approx,geocoding.jp
サンキ 高崎箕郷店,箕郷町上芝,027-371-1033,衣類,,36.38028,138.960599,approx,geocoding.jp
サンキ 高崎倉賀野店,倉賀野町,027-347-6031,衣類,,36.299835,139.038463,approx,geocoding.jp
さんく,鞘町,027-325-6288,衣類,,36.325302,139.00563,town,gsi
ジーナシス,八島町,027-386-3288,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
ジーユー,八島町,050-3116-8206,衣類,OPA,36.336619,139.011546,exact,geocoding.jp
GU,棟高町,050-3116-8218,衣類,イオンモール,36.391739,139.006439,approx,geocoding.jp
ジーユー 高崎問屋町店,問屋町,027-370-4800,衣類,,36.350157,139.012018,approx,geocoding.jp
ジェラートピケ,八島町,027-387-0434,衣類,OPA,36.323252,139.011151,approx,geocoding.jp
JACKROSE,棟高町,027-386-2080,衣類,イオンモール,36.356114,139.001775,approx,geocoding.jp
ＳＵＲＥＳＨＯＴ,真町,027-384-6375,衣類,,36.329949,139.012807,approx,geocoding.jp
ジョイフル恵利,八島町,0120-617-155,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
ジョルジュ サンク,通町,027-326-5481,衣類,,36.325867,139.009704,approx,geocoding.jp
スーツセレクト,八島町,027-310-1280,衣類,モントレー,36.322797,139.01202,approx,geocoding.jp
studio CLIP,棟高町,027-310-9015,衣類,イオンモール,36.390064,139.006677,approx,geocoding.jp
須田屋衣料品店,沖町,027-360-4379,衣類,,36.355708,138.976951,approx,geocoding.jp
スナイデル,八島町,027-395-4211,衣類,OPA,36.323056,139.011264,approx,geocoding.jp
スピンズ,八島町,080-4083-7411,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
SpRay PREMIUM,棟高町,027-310-9462,衣類,イオンモール,36.390633,139.006675,approx,geocoding.jp
センスオブプレイス,八島町,027-388-8022,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
Zoff (4/3 OPEN),八島町,,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
Times are changin',緑町,027-395-8787,衣類,,36.350623,139.004948,approx,geocoding.jp
タツミヤ,矢中町,027-346-7006,衣類,,36.31008,139.054309,approx,geocoding.jp
チサ セレクトショップ,連雀町,027-322-5259,衣類,,36.323948,139.006894,approx,geocoding.jp
tutuanna,棟高町,027-384-4588,衣類,イオンモール,36.390707,139.006244,approx,geocoding.jp
チュチュアンナ,八島町,027-381-5176,衣類,モントレー,36.356736,139.04222,approx,geocoding.jp
choujiron,四ツ屋町,090-5492-1215,衣類,,36.331535,139.001141,approx,geocoding.jp
tip top+pocket,棟高町,027-387-0575,衣類,イオンモール,36.390567,139.006347,approx,geocoding.jp
to blossom,棟高町,027-329-5212,衣類,イオンモール,36.389972,139.006648,approx,geocoding.jp
ＴＯＤＯＫＯＲＯ,檜物町,027-322-1766,衣類,,36.323875,139.006063,approx,geocoding.jp
DonDonDown On Wednesday 高崎店,江木町,027-345-8900,衣類,,36.331053,139.027525,approx,geocoding.jp
niko and...,棟高町,027-310-9273,衣類,イオンモール,36.390851,139.006185,approx,geocoding.jp
西松屋チェーン高崎高関店,高関町,070-3267-3700,衣類,,36.325886,139.031981,approx,geocoding.jp
西松屋チェーン高崎緑町店,緑町,080-4349-7288,衣類,,36.350426,139.004363,approx,geocoding.jp
西松屋チェーン ミスターマックス高崎倉賀野店,倉賀野町,070-5592-0562,衣類,,36.300793,139.056542,approx,geocoding.jp
ネストローブ,八島町,027-386-8041,衣類,OPA,36.323472,139.011026,approx,geocoding.jp
ノースムーン,八島町,080-9032-0728,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
パースト,片岡町,027-323-0048,衣類,,36.317956,138.997594,approx,geocoding.jp
HEART MARKET,棟高町,027-310-9083,衣類,イオンモール,36.35271,139.017196,approx,geocoding.jp
パシオス 飯塚店,飯塚町,027-362-8403,衣類,,36.342674,139.007957,approx,geocoding.jp
パシオス 下豊岡店,下豊岡町,027-310-8403,衣類,,36.334804,138.984821,approx,geocoding.jp
パシオス 新保店,新保町,027-370-8380,衣類,,36.342681,139.035739,approx,geocoding.jp
パシオス 中居店,中居町,027-350-8403,衣類,,36.320971,139.038457,approx,geocoding.jp
ハニーズ,八島町,027-386-5070,衣類,モントレー,36.323151,139.011907,approx,geocoding.jp
Honeys,棟高町,027-373-8050,衣類,イオンモール,36.365341,139.00703,approx,geocoding.jp
Pal'las Palace,棟高町,027-310-9135,衣類,イオンモール,36.390435,139.006486,approx,geocoding.jp
パルミーネ神宮,中豊岡町,027-328-2008,衣類,,36.330323,138.976753,approx,geocoding.jp
Handle_6,貝沢町,080-8815-1499,衣類,,36.34467,139.021039,approx,geocoding.jp
ピアラウンジバイアーク,八島町,027-388-0704,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
BK home,棟高町,027-381-8250,衣類,イオンモール,36.391336,139.006802,approx,geocoding.jp
Peace tree,江木町,027-384-2940,衣類,,36.33018,139.029051,approx,geocoding.jp
ビス ロペピクニック,八島町,027-384-2690,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
Pippi,中居町,027-353-8373,衣類,,36.312716,139.045226,approx,geocoding.jp
ファッション市場サンキ 高崎日高店,日高町,027-364-5751,衣類,,36.350166,139.03587,approx,geocoding.jp
ファッションセンターしまむら 石原店,片岡町,027-320-1068,衣類,,36.319288,138.995252,approx,geocoding.jp
ファッションセンターしまむら 貝沢店,貝沢町,027-370-1152,衣類,,36.341512,139.025262,approx,geocoding.jp
ファッションセンターしまむら 新町店,新町,0274-20-2030,衣類,,36.266492,139.109461,approx,geocoding.jp
ファッションセンターしまむら 菅谷FM店,菅谷町,027-360-6806,衣類,,36.381008,139.017902,approx,geocoding.jp
ファッションセンターしまむら 筑縄店,筑縄町,027-370-1017,衣類,,36.350607,138.988338,approx,geocoding.jp
ファッションセンターしまむら 中居店,中居町,027-360-5013,衣類,,36.31414,139.041562,approx,geocoding.jp
ファッションセンターしまむら 榛名店,中里見町,027-360-8034,衣類,,36.370177,138.905328,approx,geocoding.jp
ファッションセンターしまむら 吉井店,吉井町池,027-320-3013,衣類,,36.266007,138.99034,approx,geocoding.jp
ファッションハウス おくばら,上里見町,027-374-0137,衣類,,36.377769,138.888798,approx,geocoding.jp
FUN,棟高町,027-395-0038,衣類,イオンモール,36.390432,139.006802,approx,geocoding.jp
フォーエル高崎本店,上大類町,027-350-1254,衣類,,36.33647,139.02917,approx,geocoding.jp
深野衣裳店高崎本店,山田町,027-322-2686,衣類,,36.331391,139.008649,approx,geocoding.jp
ブティック 椿,石原町,070‐3190‐1717,衣類,,36.308009,139.000255,approx,geocoding.jp
ブティック フジミ,通町,027-327-1295,衣類,,36.324319,139.010083,approx,geocoding.jp
petit main,棟高町,027-310-9469,衣類,イオンモール,36.390214,139.006927,approx,geocoding.jp
フラットヘッド 高崎店,通町,027-327-7077,衣類,,36.323776,139.009471,approx,geocoding.jp
フリークスストア,八島町,027-386-5433,衣類,OPA,36.323108,139.011121,approx,geocoding.jp
BRICK HOUSE by Tokyo shirts,棟高町,027-310-9093,衣類,イオンモール,36.391194,139.006157,approx,geocoding.jp
ブルーム,矢中町,027-320-2383,衣類,,36.329244,139.003777,approx,geocoding.jp
古着屋 7割デイコウ,筑縄町,,衣類,,36.35019,138.986771,approx,geocoding.jp
プロバイス,八島町,027-321-4545,衣類,OPA,36.323232,139.011033,approx,geocoding.jp
BABYDOLL,棟高町,027-310-9130,衣類,イオンモール,36.390146,139.006607,approx,geocoding.jp
本店タカハシ 榛名店,上里見町,027-374-2111,衣類,,36.374501,138.895062,approx,geocoding.jp
本店タカハシ ミサト店,箕郷町東明屋,027-371-6100,衣類,,36.39896,138.958671,approx,geocoding.jp
マイルピア,八島町,027-384-3588,衣類,OPA,36.323161,139.011267,approx,geocoding.jp
moussy,八島町,027-330-5141,衣類,モントレー,36.322792,139.011837,approx,geocoding.jp
まつばや洋品店,吉井町吉井,027-387-2347,衣類,,36.252876,138.984282,approx,geocoding.jp
丸岡洋品店,和田町,027-322-3367,衣類,,36.315444,139.011828,approx,geocoding.jp
都屋,倉渕町三ノ倉,027-378-2072,衣類,,36.420173,138.815186,approx,geocoding.jp
ミラオーウェン,八島町,027-387-0802,衣類,OPA,36.3231,139.010899,approx,geocoding.jp
MALE&Co.,棟高町,027-310-9090,衣類,イオンモール,36.356913,139.007465,approx,geocoding.jp
メローボックス,八島町,050-8884-8706,衣類,OPA,36.325658,139.007941,approx,geocoding.jp
茂木呉服店,南町,027-322-2389,衣類,,36.318472,139.008382,approx,geocoding.jp
THE MODERN AGE,本町,027-384-2366,衣類,,36.33089,139.005159,approx,geocoding.jp
優美苑,柳川町,027-384-8222,衣類,,36.328641,139.002547,approx,geocoding.jp
UNIQLO,棟高町,050-3096-5188,衣類,イオンモール,36.391684,139.006208,approx,geocoding.jp
ユニクロ,八島町,050-3096-5187,衣類,モントレー,36.322852,139.012048,approx,geocoding.jp
ユニクロ高崎問屋町店,問屋町,050-3096-5184,衣類,,36.349973,139.012551,approx,geocoding.jp
洋服の青山 高崎上大類店,上大類町,027-328-2136,衣類,,36.334593,139.027234,approx,geocoding.jp
洋服の青山 高崎群馬町店,引間町,027-373-8837,衣類,,36.392611,139.007419,approx,geocoding.jp
洋服の青山 高崎緑町店,緑町,027-362-9477,衣類,,36.351608,139.007614,approx,geocoding.jp
吉田洋品店,北双葉町,027-323-1651,衣類,,36.317818,139.018496,approx,geocoding.jp
Right-on,棟高町,027-310-9094,衣類,イオンモール,36.39151,139.005938,approx,geocoding.jp
LASUD,棟高町,027-310-9039,衣類,イオンモール,36.390486,139.006488,approx,geocoding.jp
Luck Rack (4/24 OPEN),八島町,,衣類,OPA,36.32333,139.0112,approx,geocoding.jp
Lovetoxic,棟高町,027-310-9390,衣類,イオンモール,36.389958,139.006659,approx,geocoding.jp
Linge Noel,棟高町,027-310-9108,衣類,イオンモール,36.390695,139.006644,approx,geocoding.jp
流儀圧搾,棟高町,027-310-9157,衣類,イオンモール,36.390472,139.006786,approx,geocoding.jp
LUCA,棟高町,027-310-9041,衣類,イオンモール,36.390538,139.006705,approx,geocoding.jp
ray,八島町,027-325-3031,衣類,,36.323012,139.009463,approx,geocoding.jp
rhenium HIDEAWAYS,棟高町,027-372-7361,衣類,イオンモール,36.391187,139.006478,approx,geocoding.jp
repipi armario,棟高町,027-310-9391,衣類,イオンモール,36.390214,139.00657,approx,geocoding.jp
LEPSIM,棟高町,027-310-9203,衣類,イオンモール,36.3905,139.006402,approx,geocoding.jp
LOWRYS FARM,棟高町,027-310-9379,衣類,イオンモール,36.39093,139.00656,approx,geocoding.jp
RODEO CROWNS WIDE BOWL,棟高町,027-310-0055,衣類,イオンモール,36.390734,139.006227,approx,geocoding.jp
アート館,新町,,飲食店,,36.275106,139.106932,approx,geocoding.jp
Art marche,高松町,027-329-5775,飲食店,,36.321625,139.003305,approx,geocoding.jp
R30,田町,027-335-6303,飲食店,,36.327468,139.007355,approx,geocoding.jp
あいき鮨,片岡町,027-327-1186,飲食店,,36.313586,138.993511,approx,geocoding.jp
蒼屋,倉賀野町,027-320-8677,飲食店,,36.296617,139.048043,approx,geocoding.jp
赤いくつ,浜川町,027-343-2690,飲食店,,36.369572,138.981931,approx,geocoding.jp
あかり,栄町,027-326-6100,飲食店,,36.320554,139.017103,approx,geocoding.jp
揚げたての天ぷら専門店 剣崎,剣崎町,090-1760-0602,飲食店,,36.342253,138.957382,approx,geocoding.jp
アジアンダイニング バリニーズカフェ,飯塚町,027-381-8908,飲食店,,36.342591,139.006956,approx,geocoding.jp
味蔵,綿貫町,027-347-1167,飲食店,,36.30969,139.073652,approx,geocoding.jp
味処 つかさ,貝沢町,027-364-4157,飲食店,,36.339916,139.028143,approx,geocoding.jp
味の弘龍,吉井町矢田,027-387-5879,飲食店,,36.254481,139.000643,approx,geocoding.jp
味の正屋,八千代町,027-326-2142,飲食店,,36.325099,138.986419,approx,geocoding.jp
東屋本店,通町,027-315-8882,飲食店,,36.323895,139.008578,approx,geocoding.jp
あせび,田町,027-325-2603,飲食店,,36.326955,139.006586,approx,geocoding.jp
炙りや笑多,田町,027-386-996,飲食店,,36.327732,139.006328,approx,geocoding.jp
炙りや笑多駅前店,八島町,027-388-0033,飲食店,,36.325221,139.008532,approx,geocoding.jp
甘縁房,鞘町,027-326-2788,飲食店,,36.324599,139.00568,approx,geocoding.jp
あまの川,新町,080-2336-3094,飲食店,,36.347234,138.956218,approx,geocoding.jp
海女屋,高浜町,027-344-1131,飲食店,,36.366058,138.929334,approx,geocoding.jp
網元寿司,芝塚町,027-326-3545,飲食店,,36.336219,139.013021,approx,geocoding.jp
アムールのキッチン,問屋町,080-6893-3885,飲食店,,36.34255,139.018791,approx,geocoding.jp
AmericanWaffle専門店 RESTO,井野町,027-381-5905,飲食店,,36.356288,139.021952,approx,geocoding.jp
あやめ屋,新町,0274-42-5198,飲食店,,36.277551,139.106457,approx,geocoding.jp
あらいや,下小塙町,027-343-0852,飲食店,,36.349957,138.96799,approx,geocoding.jp
arca roca,筑縄町,027-384-4358,飲食店,,36.350067,138.990376,approx,geocoding.jp
ARCOBALENO COFFEE ROASTERY TAKASAKI,吉井町池,090-3539-3284,飲食店,,36.261846,138.990133,approx,geocoding.jp
アルベロ．,下里見町,027-340-1235,飲食店,,36.354842,138.924224,approx,geocoding.jp
and one cafe bar,昭和町,027-388-8516,飲食店,,36.335945,139.003345,approx,geocoding.jp
池田屋,正観寺町,027-364-3223,飲食店,,36.368433,139.017458,approx,geocoding.jp
居酒屋 魚群探知機,問屋町西,027-315-0989,飲食店,,36.350002,139.007332,approx,geocoding.jp
居酒屋 萬坊,連雀町,027-323-6293,飲食店,,36.324617,139.007324,approx,geocoding.jp
居酒屋 みーちゃん,飯塚町,027-361-1749,飲食店,,36.342574,139.006606,approx,geocoding.jp
居酒屋 大和,連雀町,027-315-8882,飲食店,,36.324826,139.007532,approx,geocoding.jp
居酒屋 和が家,剣崎町,027-344-6010,飲食店,,36.343865,138.957342,approx,geocoding.jp
居酒屋e.HEART,上並榎町,027-364-1700,飲食店,,36.341049,138.987411,approx,geocoding.jp
居酒屋 十八番,東町,027-327-2989,飲食店,,36.324823,139.015624,approx,geocoding.jp
居酒屋 ぽん太,剣崎町,027-343-9982,飲食店,,36.34508,138.960114,approx,geocoding.jp
居酒屋 三幸,上並榎町,027-343-4267,飲食店,,36.345102,138.980273,approx,geocoding.jp
いざか屋あそす,飯塚町,027-333-7977,飲食店,,36.342502,139.006741,approx,geocoding.jp
居酒屋あゆ,上里見町,027-374-1330,飲食店,,36.378465,138.895052,approx,geocoding.jp
居酒屋いっ盃,新町,027-442-1063,飲食店,,36.275309,139.109056,approx,geocoding.jp
居酒屋貴一,上並榎町,027-386-5011,飲食店,,36.343761,138.988198,approx,geocoding.jp
居酒屋きみちゃん,箕郷町生原,027-371-4381,飲食店,,36.39559,138.964355,approx,geocoding.jp
izakaya くら田,通町,027-388-1277,飲食店,,36.323851,139.009652,approx,geocoding.jp
Izakaya くら田 燎,通町,027-388-0181,飲食店,,36.323834,139.009218,approx,geocoding.jp
居酒屋 蔵之助,嘉多町,090-3244-2227,飲食店,,36.32987,139.005048,approx,geocoding.jp
居酒屋 酒笑,砂賀町,027-325-3188,飲食店,,36.323152,139.008925,approx,geocoding.jp
居酒屋さくら,上里見町,090-4830-3528,飲食店,,36.38554,138.949364,approx,geocoding.jp
居酒屋 旬菜,上並榎町,027-364-9228,飲食店,,36.342897,138.990049,approx,geocoding.jp
居酒屋しょーけん,下小塙町,027-343-0108,飲食店,,36.345794,138.97933,approx,geocoding.jp
居酒屋 みやこ,倉渕町三ノ倉,027-378-4913,飲食店,,36.412921,138.801378,approx,geocoding.jp
居酒屋らーめん ゆう太,新紺屋町,027-325-0051,飲食店,,36.328661,139.005373,approx,geocoding.jp
居酒屋 和ごころ,下室田町,090-7637-5589,飲食店,,36.337574,138.999708,approx,geocoding.jp
居酒屋わさび,中紺屋町,027-327-1101,飲食店,,36.326741,139.005694,approx,geocoding.jp
石うす,根小屋町,027-346-6240,飲食店,,36.282234,139.035642,approx,geocoding.jp
居酒肴じゅうにつき,通町,027-386-4583,飲食店,,36.324268,139.009869,approx,geocoding.jp
いずみ食堂,倉渕町三ノ倉,027-378-2954,飲食店,,36.424168,138.792661,approx,geocoding.jp
泉屋,新町,0274-42-4443,飲食店,,36.275766,139.100798,approx,geocoding.jp
板さんち,箕郷町上芝,027-371-5856,飲食店,,36.383038,138.963373,approx,geocoding.jp
イタリア食堂 ガンベロッソ,中泉町,027-350-3060,飲食店,,36.3701,139.002923,approx,geocoding.jp
イタリア料理 アンジェリーノ,菊地町,027-344-6544,飲食店,,36.361191,138.964301,approx,geocoding.jp
イタリア料理 ベルベデーレ,下里見町,027-344-8515,飲食店,,36.358604,138.922388,approx,geocoding.jp
イタリアン食堂 VILLA ROMA ヴィラローマ,棟高町,027-310-9065,飲食店,イオンモール,36.390452,139.007223,approx,geocoding.jp
イタリアンレストラン シャンゴ 倉賀野店,下之城町,027-323-7788,飲食店,,36.311599,139.030329,approx,geocoding.jp
イタリアンレストラン シャンゴ 支店,問屋町,027-363-1811,飲食店,,36.350974,139.008954,approx,geocoding.jp
イタリアンレストラン シャンゴ 本店,問屋町,027-362-7938,飲食店,,36.350974,139.008953,approx,geocoding.jp
イタリアンレストラン ベローナ,小八木町,027-364-8831,飲食店,,36.365989,139.011667,approx,geocoding.jp
イタリアンレストラン レヴァンテ,江木町,027-328-4693,飲食店,,36.331881,139.027084,approx,geocoding.jp
いち川,筑縄町,027-364-0441,飲食店,,36.350118,138.987505,approx,geocoding.jp
九,柳川町,090-3246-8031,飲食店,,36.327823,139.004303,approx,geocoding.jp
いっくう,榛名山町,027-374-9418,飲食店,,36.453603,138.848485,approx,geocoding.jp
一心庵,北新波町,027-344-4845,飲食店,,36.364814,138.974447,approx,geocoding.jp
一水庵,吉井町小串,027-387-7986,飲食店,,36.255378,139.013572,approx,geocoding.jp
一鮮,栄町,050-5595-3724,飲食店,ヤマダデンキ LABI1,36.32283,139.013699,approx,geocoding.jp
いっちょう 群馬町店,棟高町,027-373-7878,飲食店,,36.384525,138.999944,approx,geocoding.jp
いっちょう 高崎問屋町店,飯塚町,027-370-7878,飲食店,,36.343129,139.008457,approx,geocoding.jp
いっちょう 中居店,上中居町,027-350-1878,飲食店,,36.316497,139.034684,approx,geocoding.jp
壱丁目壱番地 北の駅 高崎店,大橋町,027-364-0567,飲食店,,36.339547,139.000225,approx,geocoding.jp
一汁五穀,棟高町,027-395-8332,飲食店,イオンモール,36.390625,139.006911,approx,geocoding.jp
いとをかし。,連雀町,027-388-0126,飲食店,,36.324103,139.005975,approx,geocoding.jp
田舎料理 しおん,八島町,027-327-8388,飲食店,モントレー,36.322661,139.011987,approx,geocoding.jp
イノザキッチン,井野町,027-388-8518,飲食店,,36.359502,139.029753,approx,geocoding.jp
今万人珈琲 高崎本店,緑町,027-381-5130,飲食店,,36.352697,139.003378,approx,geocoding.jp
今万人珈琲 前橋インター店,中尾町,027-212-8107,飲食店,,36.374914,139.029515,approx,geocoding.jp
Italian Bar La Famiglia,八島町,027-381-6600,飲食店,,36.322291,139.011108,approx,geocoding.jp
飲食店 茶々（労使会館内）,東町,,飲食店,,36.326592,139.013737,approx,geocoding.jp
UNO イタリアーノ,下中居町,027-386-8305,飲食店,,36.308946,139.037241,approx,geocoding.jp
ウェンディーズ・ファーストキッチン 高崎店,貝沢町,027-386-9650,飲食店,,36.344636,139.019292,approx,geocoding.jp
warmth別邸,末広町,080-4094-3390,飲食店,,36.334118,139.007184,approx,geocoding.jp
魚けん,上中居町,027-326-3547,飲食店,,36.316801,139.031161,approx,geocoding.jp
さかな屋料理 魚健,吉井町塩川,027-387-2120,飲食店,,36.257319,138.9806,approx,geocoding.jp
魚孝／じん,本郷町,027-343-1266,飲食店,,36.365751,138.930551,approx,geocoding.jp
魚彩,棟高町,027-373-3410,飲食店,,36.396764,139.006838,approx,geocoding.jp
魚辰,住吉町,027-327-0474,飲食店,,36.332889,139.001275,approx,geocoding.jp
魚民 高崎西口駅前店,鶴見町,027-321-8788,飲食店,,36.320729,139.011659,approx,geocoding.jp
魚丼 新保町店,新保町,027-386-2627,飲食店,,36.346173,139.037133,approx,geocoding.jp
魚仲,九蔵町,027-322-2428,飲食店,,36.329923,139.005319,approx,geocoding.jp
魚べい 飯塚店,飯塚町,027-370-6831,飲食店,,36.344597,138.996044,approx,geocoding.jp
魚べい 高崎問屋町店,問屋町,027-363-3411,飲食店,,36.350471,139.011508,approx,geocoding.jp
うかい亭,緑町,027-364-6484,飲食店,,36.352975,139.002482,approx,geocoding.jp
うどん 四方吉,江木町,027-324-5517,飲食店,,36.3325,139.027703,approx,geocoding.jp
うどん居酒屋 源十郎,寄合町,090-1454-3878,飲食店,,36.328344,139.005394,approx,geocoding.jp
うどん園,中里見町,027-374-4915,飲食店,,36.368496,138.907268,approx,geocoding.jp
ウドンのな,八島町,027-388-1130,飲食店,OPA,36.323161,139.011267,approx,geocoding.jp
鰻の成瀬 高崎下小鳥店,下小鳥町,080-8164-0590,飲食店,,36.353512,138.994041,approx,geocoding.jp
梅田屋,綿貫町,027-347-2302,飲食店,,36.300147,139.073967,approx,geocoding.jp
梅屋,箕郷町善地,027-371-014１,飲食店,,36.408665,138.931309,approx,geocoding.jp
うら鳥,中大類町,027-353-2735,飲食店,,36.323325,139.057799,approx,geocoding.jp
栄寿亭,あら町,027-322-2740,飲食店,,36.320815,139.007936,approx,geocoding.jp
栄楽亭,吉井町本郷,027-387-5113,飲食店,,36.259338,138.974228,approx,geocoding.jp
エクセレントグンマフードさんず,通町,027-388-8261,飲食店,,36.323745,139.009195,approx,geocoding.jp
ECOLAB,上並榎町,027-393-6133,飲食店,,36.342619,138.992279,approx,geocoding.jp
SR-50,中居町,027-352-4145,飲食店,,36.318274,139.045882,approx,geocoding.jp
江戸前手打そば くりもと,吉井町長根,027-387-8222,飲食店,,36.251045,138.973341,approx,geocoding.jp
えびすや,鞘町,090-3008-3629,飲食店,,36.325903,139.005664,approx,geocoding.jp
恵比寿屋,若松町,027-322-3555,飲食店,,36.319889,139.007043,approx,geocoding.jp
